date,identifier,title,year,url
1962-03-24,sim_newsweek-us_1962-03-24_59_12,Newsweek 1962-03-24,1962,https://archive.org/details/sim_newsweek-us_1962-03-24_59_12
1962-03-25,sim_newsweek-us_1962-03-25_59_12,Newsweek 1962-03-25,1962,https://archive.org/details/sim_newsweek-us_1962-03-25_59_12
1962-03-26,sim_newsweek-us_1962-03-26_59_13,Newsweek 1962-03-26,1962,https://archive.org/details/sim_newsweek-us_1962-03-26_59_13
1962-03-27,sim_newsweek-us_1962-03-27_59_13,Newsweek 1962-03-27,1962,https://archive.org/details/sim_newsweek-us_1962-03-27_59_13
1962-03-28,sim_newsweek-us_1962-03-28_59_13,Newsweek 1962-03-28,1962,https://archive.org/details/sim_newsweek-us_1962-03-28_59_13
1962-03-29,sim_newsweek-us_1962-03-29_59_13,Newsweek 1962-03-29,1962,https://archive.org/details/sim_newsweek-us_1962-03-29_59_13
1962-03-30,sim_newsweek-us_1962-03-30_59_13,Newsweek 1962-03-30,1962,https://archive.org/details/sim_newsweek-us_1962-03-30_59_13
1962-03-31,sim_newsweek-us_1962-03-31_59_13,Newsweek 1962-03-31,1962,https://archive.org/details/sim_newsweek-us_1962-03-31_59_13
1962-04-01,sim_newsweek-us_1962-04-01_59_13,Newsweek 1962-04-01,1962,https://archive.org/details/sim_newsweek-us_1962-04-01_59_13
1962-04-02,sim_newsweek-us_1962-04-02_59_14,Newsweek 1962-04-02,1962,https://archive.org/details/sim_newsweek-us_1962-04-02_59_14
1962-04-03,sim_newsweek-us_1962-04-03_59_14,Newsweek 1962-04-03,1962,https://archive.org/details/sim_newsweek-us_1962-04-03_59_14
1962-04-04,sim_newsweek-us_1962-04-04_59_14,Newsweek 1962-04-04,1962,https://archive.org/details/sim_newsweek-us_1962-04-04_59_14
1962-04-05,sim_newsweek-us_1962-04-05_59_14,Newsweek 1962-04-05,1962,https://archive.org/details/sim_newsweek-us_1962-04-05_59_14
1962-04-06,sim_newsweek-us_1962-04-06_59_14,Newsweek 1962-04-06,1962,https://archive.org/details/sim_newsweek-us_1962-04-06_59_14
1962-04-07,sim_newsweek-us_1962-04-07_59_14,Newsweek 1962-04-07,1962,https://archive.org/details/sim_newsweek-us_1962-04-07_59_14
1962-04-08,sim_newsweek-us_1962-04-08_59_14,Newsweek 1962-04-08,1962,https://archive.org/details/sim_newsweek-us_1962-04-08_59_14
1962-04-09,sim_newsweek-us_1962-04-09_59_15,Newsweek 1962-04-09,1962,https://archive.org/details/sim_newsweek-us_1962-04-09_59_15
1962-04-10,sim_newsweek-us_1962-04-10_59_15,Newsweek 1962-04-10,1962,https://archive.org/details/sim_newsweek-us_1962-04-10_59_15
1962-04-11,sim_newsweek-us_1962-04-11_59_15,Newsweek 1962-04-11,1962,https://archive.org/details/sim_newsweek-us_1962-04-11_59_15
1962-04-12,sim_newsweek-us_1962-04-12_59_15,Newsweek 1962-04-12,1962,https://archive.org/details/sim_newsweek-us_1962-04-12_59_15
1962-04-13,sim_newsweek-us_1962-04-13_59_15,Newsweek 1962-04-13,1962,https://archive.org/details/sim_newsweek-us_1962-04-13_59_15
1962-04-14,sim_newsweek-us_1962-04-14_59_15,Newsweek 1962-04-14,1962,https://archive.org/details/sim_newsweek-us_1962-04-14_59_15
1962-04-15,sim_newsweek-us_1962-04-15_59_15,Newsweek 1962-04-15,1962,https://archive.org/details/sim_newsweek-us_1962-04-15_59_15
1962-04-16,sim_newsweek-us_1962-04-16_59_16,Newsweek 1962-04-16,1962,https://archive.org/details/sim_newsweek-us_1962-04-16_59_16
1962-04-17,sim_newsweek-us_1962-04-17_59_16,Newsweek 1962-04-17,1962,https://archive.org/details/sim_newsweek-us_1962-04-17_59_16
1962-04-18,sim_newsweek-us_1962-04-18_59_16,Newsweek 1962-04-18,1962,https://archive.org/details/sim_newsweek-us_1962-04-18_59_16
1962-04-19,sim_newsweek-us_1962-04-19_59_16,Newsweek 1962-04-19,1962,https://archive.org/details/sim_newsweek-us_1962-04-19_59_16
1962-04-20,sim_newsweek-us_1962-04-20_59_16,Newsweek 1962-04-20,1962,https://archive.org/details/sim_newsweek-us_1962-04-20_59_16
1962-04-21,sim_newsweek-us_1962-04-21_59_16,Newsweek 1962-04-21,1962,https://archive.org/details/sim_newsweek-us_1962-04-21_59_16
1962-04-22,sim_newsweek-us_1962-04-22_59_16,Newsweek 1962-04-22,1962,https://archive.org/details/sim_newsweek-us_1962-04-22_59_16
1962-04-23,sim_newsweek-us_1962-04-23_59_17,Newsweek 1962-04-23,1962,https://archive.org/details/sim_newsweek-us_1962-04-23_59_17
1962-04-24,sim_newsweek-us_1962-04-24_59_17,Newsweek 1962-04-24,1962,https://archive.org/details/sim_newsweek-us_1962-04-24_59_17
1962-04-25,sim_newsweek-us_1962-04-25_59_17,Newsweek 1962-04-25,1962,https://archive.org/details/sim_newsweek-us_1962-04-25_59_17
1962-04-26,sim_newsweek-us_1962-04-26_59_17,Newsweek 1962-04-26,1962,https://archive.org/details/sim_newsweek-us_1962-04-26_59_17
1962-04-27,sim_newsweek-us_1962-04-27_59_17,Newsweek 1962-04-27,1962,https://archive.org/details/sim_newsweek-us_1962-04-27_59_17
1962-04-28,sim_newsweek-us_1962-04-28_59_17,Newsweek 1962-04-28,1962,https://archive.org/details/sim_newsweek-us_1962-04-28_59_17
